id;external_id;number;name;currency;status;language
1;Superviseur;Vaneau white paradigm;bus coherent Phased;neural generation;Borders Technicien Buckinghamshire;Bedfordshire Dollar Fully-configurable
2;AI c;a;Mouse e-business Investment;intuitive;Licensed Bike RAM;Sports
3;bus;program;Dinar;Progressive;port;auxiliary disintermediate
4;Garden XSS;Bacon Specialiste bandwidth;Awesome Home;a;Granite Horizontal;Aquitaine Soft
5;Developpeur backing;Diverse;a Home;cutting-edge grow;Soft;upward-trending matrix
6;Ariary;programming c Égypte;global;azure;Alsace;Ingenieur fuchsia invoice
7;Checking Public-key;Metal interactive;tangible calculating;grey GB;silver payment de;invoice
8;c;collaborative Nuevo Wooden;Cambridgeshire Automotive;des Account Borders;Rupiah;Designer vortals EXE
9;a tan Plastic;indexing;transmit asynchronous content-based;e-markets Superviseur;Haute-Normandie Iran;Saint-Denis seamless interface
10;Soft Avon;circuit;rich backing;enable Avon Soft;zero;JBOD
